number of reviewer,r_last_interact(month),submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,review_time_duration_day,Avg_patch_LOC,Avg_cyclomatic_complexity,defective
1,1,1,22,0,2,1,0,35791,0.283860854,0,0.306927628,1,3,4,1,173.5,6183,0
1,1,1,22,0,2,0,0,34437,0.282235113,0,0.30511804,1,3,4,11,0,6183,1
2,1,1,19,0,3,0,0,35415,0.345114593,0,0.426102364,95,3,5,3,0,6183,0
2,1,1,133,0,9,0,0,34537,0.345114593,0,0.426102364,210,3,5,9,0,60,0
2,1,1,96,9,6,0,5,34539,0.340064063,17,0.423174315,89,3,5,9,0,109,1
1,1,1,28,0,2,0,0,34899,0.338363198,0,0.560329025,36,3,5,7,0,124,1
1,1,1,6,0,1,6,0,35721,0.374091512,0,0.513467113,16,3,4,1,480,127,0
1,0,0,1,0,1,0,0,22163,0,0,0,2,5,4,0,0,129,1
2,1,1,2,0,2,0,0,35511,0.558721453,0,0.495705856,16,3,5,2,598,143,0
1,1,1,41,2,12,40,0,34619,1,2,0.418526786,91,3,5,9,936.75,144,0
1,1,1,6,0,1,0,0,35719,0.367995001,0,0.512006054,16,3,4,0,0,146,1
1,1,1,6,0,2,4,0,35663,0.325433939,0,0.325433939,7,3,4,1,586.5,159,0
1,1,1,65,0,9,22,0,35463,0.266016268,0,0.223106542,53,3,4,2,1030.111111,182,0
1,1,1,47,0,13,16,0,35531,0.357116146,0,0.550974972,191,3,5,1,1634.307692,205,0
1,1,1,47,0,13,16,0,35533,0.345038848,1,0.539770892,191,3,5,1,1634.307692,228,1
1,1,1,93,1,31,75,0,35467,0.182800558,2,0.183465884,115,3,4,1,155.516129,232,0
1,1,1,93,0,31,0,0,35465,0.182800558,0,0.183465884,115,3,4,1,0,254,0
1,1,1,99,5,2,0,2,33949,0.8,7,0.429861324,89,3,4,12,0,346,0
3,1,1,335,0,7,0,0,33933,0.8,0,0.411909776,433,3,4,12,0,346,0
1,1,1,7,2,2,0,0,35009,0.785714286,2,0.280730534,11,3,4,4,0,346,1
1,0.2,1,4,0,1,0,0,35011,0.785714286,0,0.2,4,3,4,4,0,349,1
1,1,1,6,2,3,4,0,33947,0.769230769,3,0.263328853,26,3,4,12,1167.666667,350,1
1,1,1,7,1,3,4,0,33945,0.75,1,0.245064279,9,3,4,12,144.6666667,356,1
1,1,1,18,2,1,0,0,33941,0.735294118,2,0.427409114,32,3,4,12,0,368,1
1,1,1,46,0,1,0,0,33943,0.735294118,0,0.427409114,51,3,4,12,0,368,1
1,1,1,5,0,2,0,0,33939,0.71875,0,0.424935719,4,3,4,12,0,378,1
1,1,1,42,0,1,0,0,33937,0.689655172,0,0.4211853,42,3,4,12,0,426,1
1,1,1,168,6,2,0,0,33935,0.689655172,6,0.4211853,232,3,4,12,0,431,1
1,1,1,8,0,1,8,0,34627,1,0,0.536657848,76,3,5,8,500,431,0
1,1,1,8,0,2,8,0,35159,1,0,0.418657725,9,3,4,3,4876.5,431,0
1,1,1,1,0,1,0,0,35553,0.678571429,0,0.238773148,1,4,4,1,0,431,0
1,1,1,8,0,1,0,0,35535,0.666666667,0,0.232376284,8,3,4,1,0,431,0
1,1,1,8,0,1,8,0,35537,0.653846154,0,0.225870998,8,3,4,1,8,431,1
1,1,1,1,0,1,1,0,35555,0.64,0,0.219254511,1,4,4,1,1,431,1
1,1,1,0,0,2,0,0,35125,0.211265432,0,0.680797101,8,3,4,3,5157,435,0
1,1,1,31,0,4,0,0,35501,0.660447761,0,0.918918919,3,4,4,1,0,437,0
1,1,1,31,0,4,3,0,35503,0.638888889,0,0.909090909,3,4,4,1,757.25,437,1
1,1,1,1,0,1,1,0,35471,0.384117305,0,0.34648318,1,3,4,1,655,439,0
2,1,1,2,0,2,0,0,35509,0.539410343,0,0.49367048,16,3,5,0,0,487,1
1,0,0,259,0,19,36,0,7273,0,0,0,532,3,4,256,1340.368421,562,0
1,1,1,164,0,6,0,0,35357,0.600877193,0,0.184067688,222,3,4,1,0,562,0
1,1,1,164,2,6,109,2,35359,0.556022409,4,0.154927249,222,3,4,1,804.5,574,1
1,1,1,1,0,1,0,0,35469,0.382959631,0,0.344478528,1,3,4,0,0,582,1
1,1,1,65,0,9,0,0,35461,0.165413336,0,0.176127951,53,3,4,0,0,624,1
1,1,1,19,0,1,2,0,35419,0.287224471,0,0.342461538,32,3,4,1,779,624,0
2,1,1,90,0,31,0,0,34615,1,0,0.450033799,104,3,5,7,0,638,0
1,1,1,0,0,2,0,0,34611,1,0,0.421814374,5,3,5,7,0,645,1
2,1,1,85,1,113,0,0,34613,1,1,0.48672228,88,3,5,7,0,651,1
1,1,1,0,6,4,0,0,34609,1,6,0.399576465,163,3,5,7,258.75,652,0
1,1,1,19,0,1,0,0,35417,0.286743192,0,0.340432099,32,3,4,0,0,654,1
1,1,1,11,0,2,2,0,35363,0.380631177,0,0.336438923,3,5,4,1,1229.5,654,0
1,1,1,11,0,2,0,0,35361,0.378285083,0,0.332291667,3,5,4,1,0,654,1
1,1,1,7,1,1,6,0,35007,0.75,1,0.417385641,12,3,4,3,52,657,0
1,1,1,7,0,1,0,0,35005,0.739130435,0,0.416107978,12,3,4,3,0,673,1
1,0,1,15,0,3,5,0,35335,0.520078163,0,0,21,3,4,1,445,675,0
1,1,1,266,0,78,100,0,35051,0.347914892,0,0.965517241,504,3,4,2,428.3461538,677,0
1,1,1,0,0,1,0,0,34573,0.346755753,0,0.360483871,7,3,4,6,0,677,0
1,1,1,0,0,1,0,0,34575,0.345809022,0,0.359191919,7,3,4,6,0,679,1
1,1,1,5,0,7,5,0,35095,0.28561656,0,0.309969605,15,3,4,1,19.57142857,697,0
2,1,1,0,2,1,0,0,25923,1,2,0.564673311,18,3,4,86,1333,697,0
1,1,1,54,1,2,10,0,32815,0.542020202,1,0.521670538,77,3,4,18,845,704,0
1,1,1,1,0,1,1,0,34713,0.367019256,0,0.520207757,2,3,4,5,171,705,0
1,1,1,5,0,1,5,0,34709,0.364937082,0,0.518736002,25,3,4,5,170,705,1
1,1,1,6,0,1,0,0,34705,0.362841165,0,0.517255189,4,3,4,5,156,705,1
1,1,0.25,0,0,2,0,0,35123,0.148343373,0,0.666287879,8,3,4,0,0,710,1
1,1,1,5,0,7,0,0,35093,0.282241861,0,0.289003759,15,3,4,0,0,710,1
1,1,1,25,0,5,6,0,34127,1,0,0.221885714,42,3,4,8,1782.4,710,0
1,1,1,0,0,1,0,0,34153,0.727272727,0,0.238386015,4,3,4,7,0,710,0
1,1,1,0,1,1,0,1,34155,0.714285714,2,0.231763285,4,3,4,7,151,710,1
1,1,1,0,0,2,0,0,34579,0.38400643,0,0.358607552,19,3,4,5,0,716,0
1,1,1,0,1,7,0,0,34413,0.365258799,3,0.28030303,138,3,4,6,0,725,1
1,1,1,266,0,78,0,0,35049,0.314863519,0,0.75,504,3,4,0,0,729,1
1,1,1,47,0,2,10,0,34951,0.284262149,0,0.320046104,36,3,4,1,453,737,0
1,1,1,16,0,1,6,0,34949,0.283773257,0,0.319654199,14,3,4,1,774,737,1
1,1,1,61,0,2,0,0,34947,0.283123249,0,0.319116334,48,3,4,0,0,739,1
1,1,1,1,0,1,0,0,34293,0.314475392,0,0.666666667,3,4,5,5,398,742,0
1,1,1,9,0,4,9,0,34839,0.325906236,0,0.344316066,9,3,4,1,1768.75,742,0
1,1,1,7,0,2,5,0,34881,0.429976925,0,0.218166175,12,3,4,1,1340.5,744,0
1,1,1,0,0,2,0,0,34879,0.427454699,0,0.204079079,20,3,4,1,81,750,1
1,1,1,9,0,4,0,0,34837,0.322817605,0,0.329329004,9,3,4,1,0,750,1
1,1,1,6,0,3,0,0,34877,0.424477675,0,0.181970165,31,3,4,0,0,750,1
1,1,1,1,0,1,0,0,34789,0.354837554,0,0.32204102,0,3,4,1,280,755,0
1,1,1,1,0,1,0,0,34787,0.353990884,0,0.321262651,0,3,4,0,280,756,1
2,1,1,17,1,5,9,0,34739,0.412330623,1,0.264119601,63,3,4,1,134.8,756,0
2,0.5,1,17,0,5,0,0,34737,0.387429379,0,0.167293233,63,3,4,1,0,756,1
