_id,number of reviewer,r_last_interact(month),review_time_duration(sec),defective,submitter_last_interact(month),LOC_deleted,issue_resolved_count,size of patch (N_of_files),LOC_replaced,issue_open_count,issue_dropped_count,REVIEW_REQ_ID,submitter_Avg_interact(month),number_Reviewer_comments,Total_patch_LOC,r_Avg_interact(month),LOC_added,bug_severity,bug_priority,Avg_cyclomatic_complexity
,1,1.0,184180.0,0,1.0,9,0,3,8,0,0,49887,0.6325549450549479,0,2514,0.7199324324324339,101,normal,P1,5
,1,1.0,184180.0,1,1.0,9,1,3,8,0,0,49889,0.6295013850415541,2,2514,0.7170648464163838,101,normal,P1,10
,1,1.0,7850765.0,0,1.0,9,0,6,0,0,0,33083,0.9827586206896551,0,0,0.23278465028680526,76,normal,--,10
,1,1.0,7850611.0,1,1.0,9,14,6,2,0,1,33085,0.9807692307692307,15,4032,0.22878526531870863,76,normal,--,10
,1,1.0,424095.0,0,1.0,17,1,2,5,0,0,49281,0.5826558265582633,1,397,0.2501241401340471,20,normal,--,14
,1,1.0,971564.0,0,1.0,144,6,4,9,0,0,48015,0.575757575757576,6,5468,0.43333229961448205,258,normal,--,67
,1,1.0,281545.0,1,1.0,1,6,7,1,0,1,49675,0.5631205673758904,7,6870,0.43148044423628995,140,normal,--,85
,1,1.0,256561.0,0,1.0,1,0,2,0,0,0,49743,0.31088888888888955,0,0,0.38561711926126074,14,normal,--,86
,1,1.0,1019185.0,0,1.0,200,0,4,0,0,0,47875,0.3101389804302717,0,1351,0.4303700544789478,0,normal,--,86
,1,1.0,337712.0,0,1.0,23,0,2,0,0,0,49507,0.6517857142857143,0,0,0.4357624570409162,69,normal,P2,91
,1,1.0,648.0,0,1.0,3,0,2,0,0,0,49841,0.6666666666666666,0,0,0.22880635948521175,2,normal,P3,92
,1,1.0,337653.0,1,1.0,23,3,2,0,0,0,49509,0.6454545454545455,3,0,0.43477256661467223,69,normal,P2,97
,1,1.0,567332.0,0,1.0,0,0,3,0,0,0,48885,1.0,0,2512,0.43894119769119555,17,normal,--,98
,1,1.0,2227765.0,0,1.0,5,0,38,0,0,0,44661,0.9629629629629629,0,0,0.6459948320413381,2201,normal,--,101
,1,0.5,2227722.0,1,0.5,5,75,38,0,0,4,44663,0.5,85,0,0.1543209876543224,2201,normal,--,104
,1,1.0,1109776.0,1,1.0,0,0,3,0,0,0,47495,0.3094104474337078,0,1097,0.42955515687789875,92,normal,--,109
,1,1.0,495563.0,1,1.0,28,0,18,0,0,0,49047,0.6985454545454607,0,0,0.42570474682773013,601,enhancement,P1,127
,1,1.0,340816.0,1,1.0,18,0,16,15,0,0,49473,0.6684000000000018,0,4796,0.412616887821973,18,enhancement,P1,127
,1,1.0,340815.0,1,1.0,11,0,9,0,0,0,49475,0.6683999999999982,0,0,0.4126168878219854,584,enhancement,P1,145
,1,1.0,5524.0,0,1.0,0,0,1,0,0,0,49989,0.4666666666666666,0,64,0.35885502060287133,5,normal,--,145
,1,1.0,36.0,1,0.2,0,0,1,0,0,0,49987,0.2,0,0,0.3582420712917842,5,normal,--,145
,1,1.0,1094627.0,1,1.0,23,0,3,16,0,0,47493,0.30866840994885864,0,4487,0.4287170890378565,23,normal,--,151
,1,1.0,1094583.0,1,1.0,18,0,6,15,0,0,47491,0.3071795407671397,0,1645,0.4270335441136027,19,normal,--,153
,1,1.0,221630.0,1,1.0,19,0,11,12,0,0,49781,0.6545327754532734,1,7164,0.4089386672259416,1504,enhancement,P1,374
,1,1.0,202902.0,0,1.0,2,0,2,2,0,0,49873,0.24913224084851013,0,578,0.4264746247415835,9,normal,--,375
,1,1.0,209317.0,0,1.0,0,0,1,0,0,0,49839,0.24863530652742538,0,253,0.4261925168344219,4,normal,--,375
,1,1.0,294711.0,1,1.0,24,0,6,10,0,0,49575,0.245639832666402,0,1520,0.42449402403768444,31,normal,--,376
,1,1.0,521694.0,0,1.0,1,0,1,0,0,0,48935,1.0,0,4057,0.7911053911053921,1,normal,--,376
,1,1.0,521694.0,1,1.0,19,1,1,0,0,0,48931,1.0,1,0,0.7898431880305007,17,normal,--,407
,1,1.0,521693.0,1,1.0,17,0,1,0,0,0,48933,1.0,0,0,0.7898431880305007,17,normal,--,436
,1,1.0,521693.0,1,1.0,58,1,1,0,0,0,48929,1.0,1,0,0.7892063492063504,56,normal,--,536
,1,1.0,521694.0,1,1.0,16,1,1,0,0,0,48925,1.0,1,0,0.7879210220673637,14,normal,--,562
,1,1.0,521693.0,1,1.0,8,0,1,0,0,0,48927,1.0,0,0,0.7879210220673637,8,normal,--,576
